,StudyDay,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_ashamed,SR_affect_neg_bored,SR_affect_neg_depressed,SR_affect_neg_embarrassed,SR_affect_neg_frustrated,SR_affect_neg_guilty,SR_affect_neg_lazy,SR_affect_neg_lonelyIsolated,SR_affect_neg_nervousAnxious,SR_affect_neg_sad,SR_affect_neg_stressed,SR_affect_pos_amused,SR_affect_pos_appreciated,SR_affect_pos_excited,SR_affect_pos_focused,SR_affect_pos_happy,SR_affect_pos_hopeful,SR_affect_pos_motivated,SR_affect_pos_relaxedCalm,SR_global_past24_ideal,SR_global_past24_noChange,SR_global_past24_noProcrastination,SR_global_past24_productivity,SR_global_past24_punctuality,SR_global_past24_satisfaction,SR_confounds_past24_fatigue,SR_confounds_past24_illness,SR_confounds_past24_stress,SR_confounds_past24_unusualEvents,SR_specific_next24_drinks2,SR_specific_next24_exercise2,SR_specific_next24_leisureNonSolo2,SR_specific_next24_leisureSolo2,SR_specific_next24_nonoccupation2,SR_specific_next24_occupation2,SR_specific_next24_sleep2,SR_specific_past24_drinks,SR_specific_past24_exercise,SR_specific_past24_leisureNonSolo,SR_specific_past24_leisureSolo,SR_specific_past24_nonoccupation,SR_specific_past24_occupation,SR_specific_past24_sleep,SR_gap_drinks,SR_gap_exercise,SR_gap_leisureNonSolo,SR_gap_leisureSolo,SR_gap_nonoccupation,SR_gap_occupation,SR_gap_sleep,SR_goal_report1,SR_goal_report2,SR_goal1_consequences,SR_goal1_importance,SR_goal1_motivationExternal,SR_goal1_motivationInternal,SR_goal2_consequences,SR_goal2_importance,SR_goal2_motivationExternal,SR_goal2_motivationInternal,SR_goal1_gap,SR_goal2_gap
30,2021-09-28,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,75.0,21.0,75.0,78.0,100.0,62.0,7.0,1.0,5.0,1.0,,,,,0.0,7.5,8.5,0.0,0.0,1.0,3.0,0.0,5.0,5.0,,,,,,,,85.0,100.0,5.0,5.0,4.0,6.0,6.0,7.0,4.0,7.0,,
31,2021-09-28,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,75.0,14.0,30.0,60.0,95.0,75.0,5.0,5.0,4.0,1.0,,1.0,,,,8.0,8.0,0.0,1.0,0.5,2.5,1.0,6.0,8.0,,,,,,,,75.0,90.0,5.0,6.0,6.0,7.0,4.0,6.0,4.0,7.0,,
32,2021-09-29,229876e0-c6b0-42b7-9d83-85f07f12eb05,2.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,71.0,31.0,40.0,72.0,91.0,76.0,4.0,1.0,3.0,2.0,,,,,,8.0,8.0,0.0,0.0,1.0,2.0,1.0,4.0,9.0,,,,,,,,100.0,100.0,5.0,5.0,4.0,7.0,7.0,6.0,4.0,4.0,,
33,2021-09-29,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,60.0,50.0,40.0,70.0,95.0,60.0,5.0,5.0,6.0,1.0,,1.0,,,,8.0,8.0,0.0,1.0,3.0,3.0,1.0,5.5,7.0,,,,,,,,30.0,70.0,6.0,7.0,7.0,6.0,5.0,6.0,4.0,7.0,,
34,2021-09-30,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.5,2.0,2.0,2.5,3.0,2.0,2.5,3.0,3.0,53.0,25.0,78.0,73.0,76.5,63.0,6.0,1.5,3.5,3.0,0.0,0.85,1.0,0.625,6.25,3.0,7.0,2.0,0.65,0.25,0.7,6.0,4.75,6.75,,,,,,,,74.5,91.5,5.5,6.0,4.0,6.0,5.0,6.0,6.0,6.0,,
35,2021-09-30,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,80.0,0.0,0.0,100.0,100.0,81.0,1.0,1.0,5.0,2.0,,,2.0,,1.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,9.5,8.0,,,,,,,,100.0,100.0,7.0,6.0,5.0,1.0,5.0,6.0,4.0,6.0,,
36,2021-09-30,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,75.0,20.0,40.0,80.0,70.0,75.0,5.0,4.0,5.0,1.0,,1.0,,,,8.0,8.0,0.0,0.0,1.0,2.0,2.5,7.0,8.0,,,,,,,,0.0,20.0,5.0,6.0,7.0,6.0,4.0,5.0,4.0,7.0,,
37,2021-10-01,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,73.0,20.0,83.0,52.0,73.0,75.0,6.0,1.0,4.0,4.0,4.0,4.3,4.0,1.0,2.0,0.0,7.2,2.0,1.6,0.5,0.75,5.0,3.0,6.8,,,,,,,,82.0,30.0,3.0,5.0,3.0,7.0,5.0,6.0,6.0,6.0,,
38,2021-10-01,229876e0-c6b0-42b7-9d83-85f07f12eb05,2.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,70.0,20.0,10.0,60.0,70.0,85.0,5.0,1.0,2.0,2.0,,2.0,4.0,2.0,2.0,4.0,8.0,0.0,0.0,2.0,2.0,1.0,6.5,5.0,,,,,,,,100.0,100.0,5.0,5.0,4.0,7.0,6.0,5.0,4.0,7.0,,
39,2021-10-01,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,80.0,17.0,70.0,85.0,90.0,85.0,5.0,3.0,6.0,1.0,,1.0,,,2.0,4.0,8.5,0.0,1.0,1.0,2.0,1.5,7.5,8.0,,,,,,,,0.0,20.0,6.0,6.0,7.0,6.0,2.0,3.0,3.0,7.0,,
